MAINLAND CHINA,Cases,Deaths,Notes,Links
Tibet,1,0,Stable,http://www.nhc.gov.cn/yjb/s7860/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml
Undisclosed,99,1,,http://www.nhc.gov.cn/yjb/s7860/202002/3db09278e3034f289841300ed09bd0e1.shtml
TOTAL,"31,161",637,"4,821 serious1,540 recovered26,359 suspected",
REGIONS,Cases,Deaths,Notes,Links
Hong Kong,24,1,,https://www.chp.gov.hk/files/pdf/enhanced_sur_pneumonia_wuhan_eng.pdf
Taiwan,16,0,1 recovered,https://www.cna.com.tw/news/firstnews/202002065014.aspx
Macau,10,0,,https://news.gov.mo/detail/zh-hant/N20BDPAzBd?3
TOTAL,50,1,0 serious,
INTERNATIONAL,Cases,Deaths,Notes,Links
Japan,86*,0,4 recovered,https://www.mhlw.go.jp/stf/newpage_09340.html
Thailand,25,0,"1 serious, 9 recovered",https://www.bangkokpost.com/thailand/general/1851149/first-local-virus-patient-cured
Singapore,30,0,"1 critical, 1 recovered",https://www.moh.gov.sg/news-highlights/details/four-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
South Korea,24,0,1 recovered,https://www.yna.co.kr/view/AKR20200207031851004?section=society/all
Australia,15,0,3 recovered,https://www.health.qld.gov.au/news-events/doh-media-releases/releases/queensland-coronavirus-update5
Germany,13,0,,https://www.stmgp.bayern.de/presse/aktuelle-informationen-zur-coronavirus-lage-in-bayern-bayerisches-gesundheitsministerium-13/
Malaysia,14,0,"13 stable, 1 recovered",https://twitter.com/KKMPutrajaya/status/1225324556979560448
United States,12,0,1 recovered,https://wtmj.com/news/2020/02/05/first-wisconsin-coronavirus-case-confirmed/
Vietnam,12,0,3 recovered,https://vietnamnet.vn/vn/suc-khoe/suc-khoe-24h/viet-nam-them-2-ca-duong-tinh-virus-corona-deu-la-nguoi-than-nu-cong-nhan-ve-tu-vu-han-613719.html
France,6,0,1 serious,https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-2019-ncov-les-six-cas-confirmes-en-france-sont-dans-un-etat-stable-selon-le-directeur-general-de-la-sante_3811051.html
UAE,5,0,Stable,https://www.wam.ae/en/details/1395302820367
Canada,7,0,,https://www.cbc.ca/news/canada/british-columbia/2nd-case-of-coronavirus-confirmed-in-b-c-1.5451915
United Kingdom,3,0,,https://www.gov.uk/government/news/cmo-confirms-third-case-of-coronavirus-in-england
Russia,2,0,,https://tass.ru/obschestvo/7656549
Philippines,3,1,,https://www.youtube.com/watch?v=_pIluXrMHCk
India,3,0,Stable,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601681
Italy,3,0,2 serious,https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2020/02/03/coronavirus-accertamenti-su-italiano-alla-cecchignola-_b20da9f2-57a5-4870-978f-23e9c50d6155.html
Nepal,1,0,,https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Cambodia,1,0,1 recovered,https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka,1,0,1 recovered,https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Finland,1,0,1 recovered,https://yle.fi/uutiset/osasto/news/finlands_first_coronavirus_patient_released_from_hospital_symptom-free/11193661
Sweden,1,0,,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/januari/bekraftat-fall-av-nytt-coronavirus-i-sverige/
Spain,1,0,,https://www.antena3.com/noticias/sociedad/confirmado-caso-coronavirus-gomera_202001315e34a9380cf2cfb788f47b07.html
Belgium,1,0,,https://www.info-coronavirus.be/nl/2020/02/04/gerepatrieerde-landgenoot-testte-positief-op-het-nieuwe-coronavirus/
TOTAL,270,1,5 serious/critical,
